id,active_stations,total_stations,created_at,updated_at,last_update
40072,323,331,2014-04-17 00:20:05.321618,2014-04-17 00:20:05.321618,1397693950
40073,323,331,2014-04-17 00:30:05.237192,2014-04-17 00:30:05.237192,1397694548
40074,323,331,2014-04-17 00:40:06.055647,2014-04-17 00:40:06.055647,1397695161
40075,323,331,2014-04-17 00:50:05.106282,2014-04-17 00:50:05.106282,1397695750
40076,323,331,2014-04-17 01:00:04.893142,2014-04-17 01:00:04.893142,1397696353
40077,323,331,2014-04-17 01:10:04.676541,2014-04-17 01:10:04.676541,1397696963
40078,323,331,2014-04-17 01:20:05.688113,2014-04-17 01:20:05.688113,1397697552
40079,323,331,2014-04-17 01:30:05.897886,2014-04-17 01:30:05.897886,1397698158
40080,323,331,2014-04-17 01:40:05.365608,2014-04-17 01:40:05.365608,1397698747
40081,323,331,2014-04-17 01:50:05.141485,2014-04-17 01:50:05.141485,1397699349
40082,323,331,2014-04-17 02:00:05.134449,2014-04-17 02:00:05.134449,1397699954
40083,323,331,2014-04-17 02:10:05.043325,2014-04-17 02:10:05.043325,1397700545
40084,323,331,2014-04-17 02:20:05.073455,2014-04-17 02:20:05.073455,1397701151
40085,323,331,2014-04-17 02:30:06.05458,2014-04-17 02:30:06.05458,1397701749
40086,323,331,2014-04-17 02:40:04.916404,2014-04-17 02:40:04.916404,1397702354
40087,323,331,2014-04-17 02:50:05.286698,2014-04-17 02:50:05.286698,1397702952
40088,323,331,2014-04-17 03:00:05.393803,2014-04-17 03:00:05.393803,1397703558
40089,323,331,2014-04-17 03:10:05.174683,2014-04-17 03:10:05.174683,1397704156
40090,323,331,2014-04-17 03:20:05.096193,2014-04-17 03:20:05.096193,1397704746
40091,323,331,2014-04-17 03:30:04.887289,2014-04-17 03:30:04.887289,1397705349
40092,323,331,2014-04-17 03:40:05.681513,2014-04-17 03:40:05.681513,1397705958
40093,323,331,2014-04-17 03:50:06.236641,2014-04-17 03:50:06.236641,1397706550
40094,323,331,2014-04-17 04:00:05.070497,2014-04-17 04:00:05.070497,1397707144
40095,323,331,2014-04-17 04:10:04.789545,2014-04-17 04:10:04.789545,1397707753
40096,323,331,2014-04-17 04:20:05.475622,2014-04-17 04:20:05.475622,1397708346
40097,323,331,2014-04-17 04:30:05.463647,2014-04-17 04:30:05.463647,1397708947
40098,323,331,2014-04-17 04:40:04.898525,2014-04-17 04:40:04.898525,1397709554
40099,323,331,2014-04-17 04:50:05.364657,2014-04-17 04:50:05.364657,1397710150
40100,323,331,2014-04-17 05:00:05.181128,2014-04-17 05:00:05.181128,1397710756
40101,323,331,2014-04-17 05:10:05.074279,2014-04-17 05:10:05.074279,1397711357
40102,323,331,2014-04-17 05:20:05.110382,2014-04-17 05:20:05.110382,1397711955
40103,323,331,2014-04-17 05:30:04.88912,2014-04-17 05:30:04.88912,1397712549
40104,323,331,2014-04-17 05:40:05.552683,2014-04-17 05:40:05.552683,1397713143
40105,323,331,2014-04-17 05:50:05.202634,2014-04-17 05:50:05.202634,1397713749
40106,323,331,2014-04-17 06:00:04.814588,2014-04-17 06:00:04.814588,1397714352
40107,323,331,2014-04-17 06:10:05.173684,2014-04-17 06:10:05.173684,1397714953
40108,323,331,2014-04-17 06:20:04.666127,2014-04-17 06:20:04.666127,1397715552
40109,323,331,2014-04-17 06:30:05.623421,2014-04-17 06:30:05.623421,1397716157
40110,323,331,2014-04-17 06:40:05.629344,2014-04-17 06:40:05.629344,1397716750
40111,323,331,2014-04-17 06:50:05.293892,2014-04-17 06:50:05.293892,1397717352
